Material Name,Hardness,Toughness,Characteristics,Density (g/cm³),Yield Stress (MPa),Application
Carbon Fiber Composite,86,122,Lightweight and strong,1.63,596,Industry
Brass,91,45,Good machinability,8.4,186,Automotive
Aluminum Alloy 7075,141,39,High strength-to-weight ratio,2.85,486,Aerospace
Aluminum Alloy 7075,148,40,High strength-to-weight ratio,2.81,518,Automotive
Stainless Steel 304,210,63,Good corrosion resistance,7.98,196,Domestic
Polycarbonate,70,90,Impact resistant,1.16,84,Domestic
Mild Steel,115,83,Ductile and weldable,7.83,250,Aerospace
Inconel 718,336,72,High temperature resistance,8.16,1027,Automotive
Carbon Fiber Composite,73,116,Lightweight and strong,1.56,595,Industry
Polycarbonate,74,86,Impact resistant,1.15,45,Domestic
Mild Steel,121,75,Ductile and weldable,7.87,248,Aerospace
Titanium Alloy Ti-6Al-4V,359,52,Excellent corrosion resistance,4.4,875,Automotive
High Carbon Steel,248,34,Very hard and strong,7.79,520,Domestic
Carbon Fiber Composite,80,125,Lightweight and strong,1.56,617,Aerospace
Titanium Alloy Ti-6Al-4V,344,55,Excellent corrosion resistance,4.43,891,Industry
Carbon Fiber Composite,88,119,Lightweight and strong,1.55,582,Aerospace
Glass Fiber Composite,97,101,Lightweight and corrosion resistant,2.61,435,Automotive
Mild Steel,119,80,Ductile and weldable,7.84,249,Domestic
Mild Steel,123,79,Ductile and weldable,7.84,246,Automotive
Aluminum Alloy 7075,146,41,High strength-to-weight ratio,2.78,515,Aerospace
Carbon Fiber Composite,74,116,Lightweight and strong,1.57,581,Aerospace
Stainless Steel 304,201,57,Good corrosion resistance,7.95,210,Industry
Aluminum Alloy 7075,158,41,High strength-to-weight ratio,2.83,518,Domestic
Carbon Fiber Composite,90,118,Lightweight and strong,1.55,613,Domestic
Brass,92,49,Good machinability,8.49,207,Industry
Carbon Fiber Composite,79,122,Lightweight and strong,1.59,603,Automotive
Polycarbonate,78,92,Impact resistant,1.19,56,Automotive
Titanium Alloy Ti-6Al-4V,348,57,Excellent corrosion resistance,4.42,861,Automotive
Mild Steel,115,80,Ductile and weldable,7.81,239,Automotive
Carbon Fiber Composite,81,122,Lightweight and strong,1.57,599,Industry
Brass,98,48,Good machinability,8.42,202,Domestic
Carbon Fiber Composite,90,119,Lightweight and strong,1.65,608,Automotive
Stainless Steel 304,209,57,Good corrosion resistance,7.98,229,Aerospace
Stainless Steel 304,195,58,Good corrosion resistance,7.99,201,Automotive
Inconel 718,334,71,High temperature resistance,8.19,1026,Domestic
Polycarbonate,68,87,Impact resistant,1.23,63,Domestic
Aluminum Alloy 7075,151,40,High strength-to-weight ratio,2.8,518,Industry
Carbon Fiber Composite,89,125,Lightweight and strong,1.6,594,Automotive
Titanium Alloy Ti-6Al-4V,339,56,Excellent corrosion resistance,4.42,887,Aerospace
Titanium Alloy Ti-6Al-4V,339,58,Excellent corrosion resistance,4.4,886,Automotive
Brass,106,54,Good machinability,8.42,201,Domestic
Carbon Fiber Composite,90,123,Lightweight and strong,1.56,615,Automotive
Brass,91,48,Good machinability,8.49,193,Aerospace
Mild Steel,111,79,Ductile and weldable,7.9,269,Aerospace
Carbon Fiber Composite,86,115,Lightweight and strong,1.6,608,Domestic
Stainless Steel 304,198,59,Good corrosion resistance,7.96,210,Automotive
Stainless Steel 304,211,60,Good corrosion resistance,8,197,Aerospace
Carbon Fiber Composite,81,121,Lightweight and strong,1.57,600,Automotive
Brass,99,53,Good machinability,8.4,187,Industry
Mild Steel,126,84,Ductile and weldable,7.88,244,Domestic
Glass Fiber Composite,80,102,Lightweight and corrosion resistant,2.6,460,Domestic
Inconel 718,340,70,High temperature resistance,8.18,1019,Domestic
Stainless Steel 304,196,65,Good corrosion resistance,7.96,209,Automotive
High Carbon Steel,246,25,Very hard and strong,7.82,496,Industry
High Carbon Steel,250,33,Very hard and strong,7.84,490,Automotive
Carbon Fiber Composite,79,119,Lightweight and strong,1.58,592,Industry
Mild Steel,111,79,Ductile and weldable,7.86,249,Automotive
Mild Steel,121,79,Ductile and weldable,7.85,231,Aerospace
Polycarbonate,75,93,Impact resistant,1.23,72,Domestic
Aluminum Alloy 7075,148,40,High strength-to-weight ratio,2.83,491,Aerospace
Inconel 718,335,70,High temperature resistance,8.21,1042,Domestic
Carbon Fiber Composite,71,118,Lightweight and strong,1.63,592,Aerospace
Polycarbonate,68,85,Impact resistant,1.24,73,Domestic
Carbon Fiber Composite,78,117,Lightweight and strong,1.59,618,Industry
Aluminum Alloy 7075,146,39,High strength-to-weight ratio,2.77,496,Aerospace
Inconel 718,335,76,High temperature resistance,8.18,1036,Industry
Carbon Fiber Composite,73,125,Lightweight and strong,1.59,602,Automotive
Aluminum Alloy 7075,154,37,High strength-to-weight ratio,2.83,504,Automotive
Stainless Steel 304,198,59,Good corrosion resistance,8.03,214,Aerospace
Mild Steel,125,79,Ductile and weldable,7.82,237,Domestic
Aluminum Alloy 7075,157,36,High strength-to-weight ratio,2.77,518,Aerospace
Inconel 718,336,77,High temperature resistance,8.24,1042,Industry
Brass,98,46,Good machinability,8.44,196,Automotive
Inconel 718,336,74,High temperature resistance,8.15,1030,Industry
Brass,99,55,Good machinability,8.41,216,Aerospace
High Carbon Steel,255,34,Very hard and strong,7.82,485,Industry
Stainless Steel 304,204,64,Good corrosion resistance,7.97,195,Domestic
High Carbon Steel,252,29,Very hard and strong,7.8,508,Automotive
Titanium Alloy Ti-6Al-4V,351,53,Excellent corrosion resistance,4.47,884,Aerospace
Mild Steel,115,77,Ductile and weldable,7.87,260,Industry
Carbon Fiber Composite,90,115,Lightweight and strong,1.6,614,Aerospace
Glass Fiber Composite,100,99,Lightweight and corrosion resistant,2.61,446,Industry
Titanium Alloy Ti-6Al-4V,349,55,Excellent corrosion resistance,4.46,894,Domestic
Inconel 718,329,77,High temperature resistance,8.15,1034,Aerospace
Mild Steel,129,78,Ductile and weldable,7.81,256,Industry
Carbon Fiber Composite,72,122,Lightweight and strong,1.56,592,Aerospace
Brass,110,45,Good machinability,8.47,212,Domestic
Glass Fiber Composite,83,98,Lightweight and corrosion resistant,2.6,461,Aerospace
Glass Fiber Composite,90,104,Lightweight and corrosion resistant,2.57,458,Automotive
Stainless Steel 304,200,61,Good corrosion resistance,8,224,Domestic
Inconel 718,327,76,High temperature resistance,8.23,1023,Automotive
Polycarbonate,67,94,Impact resistant,1.17,85,Domestic
Titanium Alloy Ti-6Al-4V,346,56,Excellent corrosion resistance,4.41,869,Aerospace
Stainless Steel 304,197,56,Good corrosion resistance,8.01,230,Industry
